spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped,Day_name,Month_name,Year_name
6nek1Nin9q48AVZcWs9e9D,08-07-2013,web player,320,Paradise,Coldplay,Mylo Xyloto,clickrow,nextbtn,FALSE,FALSE,Mon,Jul,2013
4HXOBjwv2RnLpGG4xWOO6N,08-07-2013,web player,0,Princess of China,Coldplay,Mylo Xyloto,nextbtn,nextbtn,FALSE,FALSE,Mon,Jul,2013
7LVHVU3tWfcxj5aiPFEW4Q,08-07-2013,web player,0,Fix You,Coldplay,X&Y,nextbtn,nextbtn,FALSE,FALSE,Mon,Jul,2013
3AJwUDP919kvQ9QcozQPxg,08-07-2013,web player,0,Yellow,Coldplay,Parachutes,nextbtn,nextbtn,FALSE,FALSE,Mon,Jul,2013
0BCPKOYdS2jbQ8iyB56Zns,08-07-2013,web player,1295,Clocks,Coldplay,A Rush of Blood to the Head,nextbtn,nextbtn,FALSE,FALSE,Mon,Jul,2013
1yqMgZNrevsWMLWfO2PRp5,08-07-2013,web player,0,Charlie Brown,Coldplay,Mylo Xyloto,nextbtn,backbtn,FALSE,FALSE,Mon,Jul,2013
0BCPKOYdS2jbQ8iyB56Zns,08-07-2013,web player,861,Clocks,Coldplay,A Rush of Blood to the Head,backbtn,clickrow,FALSE,FALSE,Mon,Jul,2013
6ZygaqgtPkiahkiYJhYWhn,08-07-2013,web player,99186,Seaside,The Kooks,Inside In / Inside Out,clickrow,unknown,FALSE,FALSE,Mon,Jul,2013
3aABdPd96JkyvI9ZmHPLIZ,08-07-2013,web player,158275,See The World,The Kooks,Inside In / Inside Out,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
1LM6kwIYSY6864gf0tstlr,08-07-2013,web player,133197,Sofa Song,The Kooks,Inside In / Inside Out,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
4Dw0DUMMSGVQdeIpAfHJ60,08-07-2013,web player,0,Eddie's Gun,The Kooks,Inside In / Inside Out,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
2Uf9WTBWMA8S9Lh3k3Rui6,08-07-2013,web player,208901,Ooh La,The Kooks,Inside In / Inside Out,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
3fRVgnVO9c973OIoWwN3V2,08-07-2013,web player,0,You Don't Love Me,The Kooks,Inside In / Inside Out,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
5xoUgPXbMNUmoHU0Enwtwq,08-07-2013,web player,169246,She Moves In Her Own Way,The Kooks,Inside In / Inside Out,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
12neqgXbe73JFQUhv9fgjO,08-07-2013,web player,189578,Matchbox,The Kooks,Inside In / Inside Out,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
7BHPGtpuuWWsvE7cCaMuEU,08-07-2013,web player,0,Naive,The Kooks,Inside In / Inside Out,trackdone,trackdone,FALSE,FALSE,Mon,Jul,2013
0UDFYzrb5copPflRuheuPJ,08-07-2013,web player,196552,I Want You,The Kooks,Inside In / Inside Out,trackdone,reload,FALSE,FALSE,Mon,Jul,2013
0UDFYzrb5copPflRuheuPJ,08-07-2013,web player,0,I Want You,The Kooks,Inside In / Inside Out,clickrow,clickrow,FALSE,FALSE,Mon,Jul,2013
2GAljG6WxV0XU7N88TWhb1,08-07-2013,web player,257591,Paper Doll,John Mayer,Paper Doll,clickrow,unknown,FALSE,FALSE,Mon,Jul,2013
4gs07VlJST4bdxGbBsXVue,09-07-2013,web player,20825,Heartbreak Warfare,John Mayer,Battle Studies,trackdone,reload,FALSE,FALSE,Tue,Jul,2013
0Hl7Z3TIEgY0JSbQNDM4ZA,09-07-2013,web player,191430,America,Imagine Dragons,Night Visions,clickrow,clickrow,FALSE,FALSE,Tue,Jul,2013
4DJLcyfnyEGlUejAEAX4az,09-07-2013,web player,222536,1983,Neon Trees,Habits,clickrow,unknown,FALSE,FALSE,Tue,Jul,2013
1RX6K9yQuBugl1sgU5oIUO,09-07-2013,web player,279,Girls And Boys In School,Neon Trees,Habits,trackdone,clickrow,FALSE,FALSE,Tue,Jul,2013
7wMq5n8mYSKlQIGECKUgTX,09-07-2013,web player,863,Hall of Fame (feat. will.i.am),The Script,#3 Deluxe Version,clickrow,clickrow,FALSE,FALSE,Tue,Jul,2013
6QiBNpMK7xlZFnnoEdIPCr,09-07-2013,web player,143150,Millionaires,The Script,#3 Deluxe Version,clickrow,clickrow,FALSE,FALSE,Tue,Jul,2013
4Sfa7hdVkqlM8UW5LsSY3F,09-07-2013,web player,6940,Take a Walk,Passion Pit,Gossamer,clickrow,clickrow,FALSE,FALSE,Tue,Jul,2013
49Nm3tdtTOZ0nwGDGcqK5w,09-07-2013,web player,1396,I Still Haven't Found What I'm Looking For,U2,U218 Singles,clickrow,clickrow,FALSE,FALSE,Tue,Jul,2013
57ZXcBtCZXSg9TVV5xRdnR,09-07-2013,web player,194533,Vertigo,U2,How To Dismantle An Atomic Bomb,clickrow,unknown,FALSE,FALSE,Tue,Jul,2013
1TPkX0DobdBkKRUCuALdIJ,09-07-2013,web player,5996,Sweetest Thing - The Single Mix,U2,U218 Singles,trackdone,clickrow,FALSE,FALSE,Tue,Jul,2013
49Nm3tdtTOZ0nwGDGcqK5w,09-07-2013,web player,277341,I Still Haven't Found What I'm Looking For,U2,U218 Singles,clickrow,unknown,FALSE,FALSE,Tue,Jul,2013
5t514bZ4eZPtKJbKfuZJCA,09-07-2013,web player,198388,Beautiful Day,U2,The Best Of 1990-2000,trackdone,reload,FALSE,FALSE,Tue,Jul,2013
7oK9VyNzrYvRFo7nQEYkWN,09-07-2013,web player,638,Mr. Brightside,The Killers,Hot Fuss,clickrow,nextbtn,FALSE,FALSE,Tue,Jul,2013
7HGTkn2aX7MNdKs7nV2xBt,09-07-2013,web player,86897,Somebody Told Me,The Killers,Hot Fuss,nextbtn,clickrow,FALSE,FALSE,Tue,Jul,2013
1ytTeSRAU6IRo2itVDwtPv,09-07-2013,web player,101392,Creep,Radiohead,The Best Of,clickrow,nextbtn,FALSE,FALSE,Tue,Jul,2013
4uBzDO9wmPEXBKhfwAlMFJ,09-07-2013,web player,14361,No Surprises,Radiohead,OK Computer,nextbtn,clickrow,FALSE,FALSE,Tue,Jul,2013
7jSJLFKyGGXaqSE5QB69qf,09-07-2013,web player,85435,Breath Of Life,Florence + The Machine,Breath Of Life,clickrow,clickrow,FALSE,FALSE,Tue,Jul,2013
0bXpmJyHHYPk6QBFj25bYF,09-07-2013,web player,127921,Intro,The xx,xx,clickrow,unknown,FALSE,FALSE,Tue,Jul,2013
1zuKjpp4t7BS8JPKi6mkQr,09-07-2013,web player,171598,Angels,The xx,Coexist,trackdone,trackdone,FALSE,FALSE,Tue,Jul,2013
6rxEjkoar48SssZePbtb2x,09-07-2013,web player,20402,Crystalised,The xx,xx,trackdone,clickrow,FALSE,FALSE,Tue,Jul,2013
3vjQt1znaFEnX3PBXsgtVc,09-07-2013,web player,196702,Next To Me,Emeli Sandé,Our Version Of Events,clickrow,unknown,FALSE,FALSE,Tue,Jul,2013
4rHZZAmHpZrA3iH5zx8frV,09-07-2013,web player,436965,Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),clickrow,nextbtn,FALSE,FALSE,Tue,Jul,2013
3vjQt1znaFEnX3PBXsgtVc,09-07-2013,web player,431,Next To Me,Emeli Sandé,Our Version Of Events,nextbtn,nextbtn,FALSE,FALSE,Tue,Jul,2013
2GAljG6WxV0XU7N88TWhb1,09-07-2013,web player,257591,Paper Doll,John Mayer,Paper Doll,nextbtn,unknown,FALSE,FALSE,Tue,Jul,2013
50VNvhzyaSplJCKWchN7a8,09-07-2013,web player,209423,Impossible,James Arthur,Impossible,trackdone,trackdone,FALSE,FALSE,Tue,Jul,2013
49h0RYK3yzWkfbVyNJjJ01,09-07-2013,web player,154347,Do I Wanna Know?,Arctic Monkeys,Do I Wanna Know?,trackdone,nextbtn,FALSE,FALSE,Tue,Jul,2013
49Nm3tdtTOZ0nwGDGcqK5w,09-07-2013,web player,0,I Still Haven't Found What I'm Looking For,U2,U218 Singles,nextbtn,nextbtn,FALSE,FALSE,Tue,Jul,2013
7jSJLFKyGGXaqSE5QB69qf,09-07-2013,web player,0,Breath Of Life,Florence + The Machine,Breath Of Life,nextbtn,nextbtn,FALSE,FALSE,Tue,Jul,2013
4rHZZAmHpZrA3iH5zx8frV,09-07-2013,web player,0,Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),nextbtn,nextbtn,FALSE,FALSE,Tue,Jul,2013
3vjQt1znaFEnX3PBXsgtVc,10-07-2013,web player,1826,Next To Me,Emeli Sandé,Our Version Of Events,nextbtn,reload,FALSE,FALSE,Wed,Jul,2013
